zipcode,address,lng,lat
173-0012,東京都板橋区大和町17-1,139.7055771,35.761119
114-0001,東京都北区東十条3丁目18,139.7268722,35.763949
174-0052,東京都板橋区蓮沼町19,139.70247,35.7685159
114-0034,東京都北区上十条1-12-10,139.7222387,35.760257
